,Group,Sample,BW,dpi,BT
0,음성 대조군,N1,23.36,0,38.1
1,음성 대조군,N2,24.31,0,38.7
2,음성 대조군,N3,22.14,0,38.0
3,음성 대조군,N4,25.75,0,38.1
4,음성 대조군,N1,28.3,0,35.9
5,음성 대조군,N2,24.11,0,37.1
6,음성 대조군,N3,23.63,0,36.0
7,음성 대조군,N4,26.32,0,36.3
8,음성 대조군,N1,28.3,0,35.9
9,음성 대조군,N2,24.11,0,37.1
10,음성 대조군,N3,23.63,0,36.0
11,음성 대조군,N4,26.32,0,36.3
12,음성 대조군,N1,22.7,0,34.0
13,음성 대조군,N2,25.6,0,35.1
14,음성 대조군,N3,24.2,0,34.5
15,음성 대조군,N1,24.5,0,36.7
16,음성 대조군,N2,22.2,0,36.0
17,음성 대조군,N3,22.9,0,35.7
18,음성 대조군,N4,24.0,0,36.1
19,음성 대조군,N1,23.86,1,36.7
20,음성 대조군,N2,24.66,1,37.1
21,음성 대조군,N3,22.76,1,37.2
22,음성 대조군,N4,25.97,1,37.1
23,음성 대조군,N1,28.0,1,36.3
24,음성 대조군,N2,24.35,1,36.5
25,음성 대조군,N3,23.56,1,36.3
26,음성 대조군,N4,26.44,1,35.9
27,음성 대조군,N1,28.0,1,36.3
28,음성 대조군,N2,24.35,1,36.5
29,음성 대조군,N3,23.56,1,36.3
30,음성 대조군,N4,26.44,1,35.9
31,음성 대조군,N1,23.4,1,37.0
32,음성 대조군,N2,27.0,1,37.2
33,음성 대조군,N3,25.5,1,38.1
34,음성 대조군,N1,24.1,1,36.9
35,음성 대조군,N2,22.1,1,36.2
36,음성 대조군,N3,22.5,1,37.4
37,음성 대조군,N4,23.9,1,37.3
38,음성 대조군,N1,23.21,2,37.4
39,음성 대조군,N2,24.57,2,36.8
40,음성 대조군,N3,22.68,2,37.3
41,음성 대조군,N4,25.82,2,37.2
42,음성 대조군,N1,28.12,2,37.3
43,음성 대조군,N2,24.68,2,36.6
44,음성 대조군,N3,23.87,2,36.5
45,음성 대조군,N4,26.67,2,36.4
46,음성 대조군,N1,28.12,2,37.3
47,음성 대조군,N2,24.68,2,36.6
48,음성 대조군,N3,23.87,2,36.5
49,음성 대조군,N4,26.67,2,36.4
50,음성 대조군,N1,24.0,2,37.1
51,음성 대조군,N2,28.0,2,37.9
52,음성 대조군,N3,25.8,2,37.9
53,음성 대조군,N1,24.4,2,36.8
54,음성 대조군,N2,22.3,2,37.7
55,음성 대조군,N3,23.3,2,36.4
56,음성 대조군,N4,24.5,2,36.7
57,음성 대조군,N1,23.0,3,36.4
58,음성 대조군,N2,24.27,3,36.9
59,음성 대조군,N3,22.68,3,37.3
60,음성 대조군,N4,25.63,3,35.9
61,음성 대조군,N1,28.82,3,36.2
62,음성 대조군,N2,24.42,3,35.8
63,음성 대조군,N3,23.79,3,36.2
64,음성 대조군,N4,26.14,3,35.6
65,음성 대조군,N1,28.82,3,36.2
66,음성 대조군,N2,24.42,3,35.7
67,음성 대조군,N3,23.79,3,36.2
68,음성 대조군,N4,26.14,3,35.6
69,음성 대조군,N1,23.4,3,36.8
70,음성 대조군,N2,28.4,3,38.4
71,음성 대조군,N3,25.7,3,36.9
72,음성 대조군,N1,24.6,3,35.8
73,음성 대조군,N2,22.0,3,35.3
74,음성 대조군,N3,23.3,3,36.4
75,음성 대조군,N4,23.2,3,36.6
76,음성 대조군,N1,23.55,4,37.3
77,음성 대조군,N2,24.5,4,35.9
78,음성 대조군,N3,23.29,4,36.1
79,음성 대조군,N4,26.0,4,36.5
80,음성 대조군,N1,28.7,4,35.3
81,음성 대조군,N2,24.26,4,36.4
82,음성 대조군,N3,23.55,4,36.3
83,음성 대조군,N4,26.55,4,35.2
84,음성 대조군,N1,28.7,4,35.3
85,음성 대조군,N2,24.26,4,36.4
86,음성 대조군,N3,23.55,4,36.3
87,음성 대조군,N4,26.55,4,35.2
88,음성 대조군,N1,23.4,4,36.2
89,음성 대조군,N2,28.0,4,37.3
90,음성 대조군,N3,25.3,4,37.5
91,음성 대조군,N1,24.9,4,35.8
92,음성 대조군,N2,22.3,4,36.3
93,음성 대조군,N3,23.2,4,37.0
94,음성 대조군,N4,24.5,4,36.9
95,음성 대조군,N1,23.53,5,35.4
