,Group,Sample,BT,dpi,BW
0,바이러스+치료제,TL1,37.5,0,26.51
1,바이러스+치료제,TL2,37.2,0,26.45
2,바이러스+치료제,TL3,37.6,0,26.64
3,바이러스+치료제,TL4,38.0,0,24.39
4,바이러스+치료제,TL5,37.7,0,25.58
5,바이러스+치료제,TL6,37.8,0,19.97
6,바이러스+치료제,TL7,38.0,0,27.01
7,바이러스+치료제,TL8,38.0,0,26.01
8,바이러스+치료제,TL9,37.6,0,24.99
9,바이러스+치료제,TL10,37.8,0,21.89
10,바이러스+치료제,TL11,38.3,0,28.63
11,바이러스+치료제,TL12,37.7,0,25.85
12,바이러스+치료제,TL13,37.8,0,27.54
13,바이러스+치료제,TL14,37.6,0,25.25
14,바이러스+치료제,TL15,37.6,0,30.97
15,바이러스+치료제,TL1,35.5,0,26.79
16,바이러스+치료제,TL2,36.6,0,25.17
17,바이러스+치료제,TL3,36.7,0,24.23
18,바이러스+치료제,TL4,36.4,0,24.13
19,바이러스+치료제,TL5,38.3,0,25.44
20,바이러스+치료제,TL6,37.1,0,26.53
21,바이러스+치료제,TL7,37.3,0,27.3
22,바이러스+치료제,TL8,37.3,0,26.0
23,바이러스+치료제,TL9,38.0,0,27.84
24,바이러스+치료제,TL10,36.6,0,28.0
25,바이러스+치료제,TL11,36.4,0,24.73
26,바이러스+치료제,TH1,36.6,0,25.89
27,바이러스+치료제,TH2,36.7,0,23.7
28,바이러스+치료제,TH3,36.7,0,24.5
29,바이러스+치료제,TH4,35.9,0,25.55
30,바이러스+치료제,TH5,36.8,0,21.71
31,바이러스+치료제,TH6,36.6,0,26.0
32,바이러스+치료제,TH7,36.1,0,25.48
33,바이러스+치료제,TH8,36.2,0,25.76
34,바이러스+치료제,TH9,36.9,0,23.84
35,바이러스+치료제,TH10,36.6,0,29.44
36,바이러스+치료제,TH11,37.6,0,26.0
37,바이러스+치료제,TL1,38.2,0,21.34
38,바이러스+치료제,TL2,38.9,0,27.22
39,바이러스+치료제,TL3,37.6,0,22.66
40,바이러스+치료제,TL4,35.9,0,25.01
41,바이러스+치료제,TL5,35.7,0,27.46
42,바이러스+치료제,TL6,36.4,0,25.51
43,바이러스+치료제,TL7,38.2,0,27.83
44,바이러스+치료제,TL8,37.9,0,26.68
45,바이러스+치료제,TL9,37.8,0,26.36
46,바이러스+치료제,TL10,38.5,0,25.68
47,바이러스+치료제,TL11,38.8,0,27.59
48,바이러스+치료제,TH1,36.9,0,22.67
49,바이러스+치료제,TH2,37.0,0,25.42
50,바이러스+치료제,TH3,37.0,0,24.0
51,바이러스+치료제,TH4,36.0,0,25.21
52,바이러스+치료제,TH5,36.0,0,27.19
53,바이러스+치료제,TH6,37.5,0,25.39
54,바이러스+치료제,TH7,36.5,0,25.11
55,바이러스+치료제,TH8,36.3,0,24.67
56,바이러스+치료제,TH9,36.8,0,25.71
57,바이러스+치료제,TH10,37.8,0,23.55
58,바이러스+치료제,TH11,37.5,0,23.8
59,바이러스+치료제,TL1,33.0,0,21.3
60,바이러스+치료제,TL2,34.9,0,24.6
61,바이러스+치료제,TL3,34.0,0,25.1
62,바이러스+치료제,TL4,34.3,0,28.7
63,바이러스+치료제,TL5,34.1,0,26.5
64,바이러스+치료제,TL6,33.9,0,20.8
65,바이러스+치료제,TL7,33.6,0,24.1
66,바이러스+치료제,TL8,33.0,0,23.8
67,바이러스+치료제,TL9,35.5,0,23.1
68,바이러스+치료제,TL10,34.8,0,26.7
69,바이러스+치료제,TL1,35.2,1,26.33
70,바이러스+치료제,TL2,35.0,1,27.02
71,바이러스+치료제,TL3,35.1,1,26.97
72,바이러스+치료제,TL4,35.6,1,23.65
73,바이러스+치료제,TL5,35.6,1,25.24
74,바이러스+치료제,TL6,35.9,1,19.84
75,바이러스+치료제,TL7,35.5,1,26.22
76,바이러스+치료제,TL8,35.5,1,26.0
77,바이러스+치료제,TL9,35.1,1,25.24
78,바이러스+치료제,TL10,35.9,1,21.21
79,바이러스+치료제,TL11,36.6,1,28.03
80,바이러스+치료제,TL12,35.8,1,26.02
81,바이러스+치료제,TL13,36.6,1,27.54
82,바이러스+치료제,TL14,36.1,1,25.49
83,바이러스+치료제,TL15,36.4,1,31.0
84,바이러스+치료제,TL1,37.6,1,25.53
85,바이러스+치료제,TL2,38.3,1,25.05
86,바이러스+치료제,TL3,36.7,1,23.55
87,바이러스+치료제,TL4,36.8,1,23.51
88,바이러스+치료제,TL5,38.8,1,24.88
89,바이러스+치료제,TL6,37.8,1,25.39
90,바이러스+치료제,TL7,37.9,1,26.27
91,바이러스+치료제,TL8,37.1,1,25.35
92,바이러스+치료제,TL9,38.1,1,26.47
93,바이러스+치료제,TL10,38.2,1,27.16
94,바이러스+치료제,TL11,37.3,1,23.57
95,바이러스+치료제,TH1,38.0,1,25.0
96,바이러스+치료제,TH2,37.1,1,23.04
97,바이러스+치료제,TH3,36.9,1,23.77
98,바이러스+치료제,TH4,37.7,1,24.3
99,바이러스+치료제,TH5,37.2,1,21.0
100,바이러스+치료제,TH6,37.3,1,25.6
101,바이러스+치료제,TH7,37.6,1,24.35
102,바이러스+치료제,TH8,36.9,1,24.96
