,Group,Sample,BW,dpi,BT,pred_y,CI_lower,CI_upper
12,음성 대조군,N1,22.7,0,34.0,23.40982290884057,23.213214483919753,23.60643133376139
14,음성 대조군,N3,24.2,0,34.5,23.66606840359995,23.50467510634213,23.82746170085777
174,음성 대조군,N3,23.0,13,35.0,23.92231389835933,23.79490111980457,24.04972667691409
169,음성 대조군,N2,24.97,12,35.1,23.973562997311205,23.852705826991738,24.094420167630673
168,음성 대조군,N1,23.38,12,35.1,23.973562997311205,23.852705826991738,24.094420167630673
13,음성 대조군,N2,25.6,0,35.1,23.973562997311205,23.852705826991738,24.094420167630673
83,음성 대조군,N4,26.55,4,35.2,24.024812096263084,23.910397818571056,24.13922637395511
87,음성 대조군,N4,26.55,4,35.2,24.024812096263084,23.910397818571056,24.13922637395511
84,음성 대조군,N1,28.7,4,35.3,24.076061195214955,23.96795693949149,24.18416545093842
80,음성 대조군,N1,28.7,4,35.3,24.076061195214955,23.96795693949149,24.18416545093842
73,음성 대조군,N2,22.0,3,35.3,24.076061195214955,23.96795693949149,24.18416545093842
170,음성 대조군,N3,23.46,12,35.4,24.127310294166833,24.025358515786877,24.22926207254679
95,음성 대조군,N1,23.53,5,35.4,24.127310294166833,24.025358515786877,24.22926207254679
179,음성 대조군,N4,26.96,14,35.5,24.178559393118707,24.082572248314197,24.274546537923218
64,음성 대조군,N4,26.14,3,35.6,24.229808492070585,24.139560884544494,24.320056099596677
164,음성 대조군,N1,23.1,11,35.6,24.229808492070585,24.139560884544494,24.320056099596677
113,음성 대조군,N4,24.6,5,35.6,24.229808492070585,24.139560884544494,24.320056099596677
149,음성 대조군,N2,22.8,7,35.6,24.229808492070585,24.139560884544494,24.320056099596677
155,음성 대조군,N4,25.14,8,35.6,24.229808492070585,24.139560884544494,24.320056099596677
68,음성 대조군,N4,26.14,3,35.6,24.229808492070585,24.139560884544494,24.320056099596677
66,음성 대조군,N2,24.42,3,35.7,24.281057591022464,24.19627869503873,24.3658364870062
171,음성 대조군,N4,26.1,12,35.7,24.281057591022464,24.19627869503873,24.3658364870062
17,음성 대조군,N3,22.9,0,35.7,24.281057591022464,24.19627869503873,24.3658364870062
96,음성 대조군,N2,25.39,5,35.7,24.281057591022464,24.19627869503873,24.3658364870062
107,음성 대조군,N1,23.9,5,35.7,24.281057591022464,24.19627869503873,24.3658364870062
143,음성 대조군,N3,24.0,7,35.8,24.332306689974335,24.252669866909663,24.411943513039006
97,음성 대조군,N3,23.14,5,35.8,24.332306689974335,24.252669866909663,24.411943513039006
154,음성 대조군,N3,23.0,8,35.8,24.332306689974335,24.252669866909663,24.411943513039006
62,음성 대조군,N2,24.42,3,35.8,24.332306689974335,24.252669866909663,24.411943513039006
153,음성 대조군,N2,25.13,8,35.8,24.332306689974335,24.252669866909663,24.411943513039006
110,음성 대조군,N1,24.8,5,35.8,24.332306689974335,24.252669866909663,24.411943513039006
139,음성 대조군,N3,24.0,7,35.8,24.332306689974335,24.252669866909663,24.411943513039006
178,음성 대조군,N3,23.42,14,35.8,24.332306689974335,24.252669866909663,24.411943513039006
91,음성 대조군,N1,24.9,4,35.8,24.332306689974335,24.252669866909663,24.411943513039006
72,음성 대조군,N1,24.6,3,35.8,24.332306689974335,24.252669866909663,24.411943513039006
144,음성 대조군,N4,26.73,7,35.9,24.383555788926213,24.3086670860731,24.458444491779325
77,음성 대조군,N2,24.5,4,35.9,24.383555788926213,24.3086670860731,24.458444491779325
165,음성 대조군,N2,25.03,11,35.9,24.383555788926213,24.3086670860731,24.458444491779325
102,음성 대조군,N4,27.02,5,35.9,24.383555788926213,24.3086670860731,24.458444491779325
8,음성 대조군,N1,28.3,0,35.9,24.383555788926213,24.3086670860731,24.458444491779325
106,음성 대조군,N4,27.02,5,35.9,24.383555788926213,24.3086670860731,24.458444491779325
26,음성 대조군,N4,26.44,1,35.9,24.383555788926213,24.3086670860731,24.458444491779325
4,음성 대조군,N1,28.3,0,35.9,24.383555788926213,24.3086670860731,24.458444491779325
167,음성 대조군,N4,25.64,11,35.9,24.383555788926213,24.3086670860731,24.458444491779325
30,음성 대조군,N4,26.44,1,35.9,24.383555788926213,24.3086670860731,24.458444491779325
176,음성 대조군,N1,23.66,14,35.9,24.383555788926213,24.3086670860731,24.458444491779325
173,음성 대조군,N2,24.81,13,35.9,24.383555788926213,24.3086670860731,24.458444491779325
140,음성 대조군,N4,26.74,7,35.9,24.383555788926213,24.3086670860731,24.458444491779325
60,음성 대조군,N4,25.63,3,35.9,24.383555788926213,24.3086670860731,24.458444491779325
115,음성 대조군,N2,25.42,6,36.0,24.434804887878087,24.364190839093265,24.50541893666291
119,음성 대조군,N2,24.25,6,36.0,24.434804887878087,24.364190839093265,24.50541893666291
6,음성 대조군,N3,23.63,0,36.0,24.434804887878087,24.364190839093265,24.50541893666291
123,음성 대조군,N2,24.25,6,36.0,24.434804887878087,24.364190839093265,24.50541893666291
152,음성 대조군,N1,23.36,8,36.0,24.434804887878087,24.364190839093265,24.50541893666291
98,음성 대조군,N4,26.1,5,36.0,24.434804887878087,24.364190839093265,24.50541893666291
10,음성 대조군,N3,23.63,0,36.0,24.434804887878087,24.364190839093265,24.50541893666291
16,음성 대조군,N2,22.2,0,36.0,24.434804887878087,24.364190839093265,24.50541893666291
116,음성 대조군,N3,22.84,6,36.0,24.434804887878087,24.364190839093265,24.50541893666291
78,음성 대조군,N3,23.29,4,36.1,24.486053986829965,24.41915031129473,24.552957662365202
18,음성 대조군,N4,24.0,0,36.1,24.486053986829965,24.41915031129473,24.552957662365202
172,음성 대조군,N1,23.17,13,36.1,24.486053986829965,24.41915031129473,24.552957662365202
166,음성 대조군,N3,22.89,11,36.1,24.486053986829965,24.41915031129473,24.552957662365202
88,음성 대조군,N1,23.4,4,36.2,24.53730308578184,24.47344706368495,24.60115910787873
160,음성 대조군,N1,23.0,10,36.2,24.53730308578184,24.47344706368495,24.60115910787873
67,음성 대조군,N3,23.79,3,36.2,24.53730308578184,24.47344706368495,24.60115910787873
35,음성 대조군,N2,22.1,1,36.2,24.53730308578184,24.47344706368495,24.60115910787873
112,음성 대조군,N3,23.1,5,36.2,24.53730308578184,24.47344706368495,24.60115910787873
63,음성 대조군,N3,23.79,3,36.2,24.53730308578184,24.47344706368495,24.60115910787873
117,음성 대조군,N4,25.7,6,36.2,24.53730308578184,24.47344706368495,24.60115910787873
61,음성 대조군,N1,28.82,3,36.2,24.53730308578184,24.47344706368495,24.60115910787873
65,음성 대조군,N1,28.82,3,36.2,24.53730308578184,24.47344706368495,24.60115910787873
131,음성 대조군,N3,24.0,6,36.3,24.588552184733715,24.52698260491114,24.65012176455629
7,음성 대조군,N4,26.32,0,36.3,24.588552184733715,24.52698260491114,24.65012176455629
82,음성 대조군,N3,23.55,4,36.3,24.588552184733715,24.52698260491114,24.65012176455629
11,음성 대조군,N4,26.32,0,36.3,24.588552184733715,24.52698260491114,24.65012176455629
135,음성 대조군,N3,23.3,7,36.3,24.588552184733715,24.52698260491114,24.65012176455629
92,음성 대조군,N2,22.3,4,36.3,24.588552184733715,24.52698260491114,24.65012176455629
86,음성 대조군,N3,23.55,4,36.3,24.588552184733715,24.52698260491114,24.65012176455629
163,음성 대조군,N4,25.91,10,36.3,24.588552184733715,24.52698260491114,24.65012176455629
29,음성 대조군,N3,23.56,1,36.3,24.588552184733715,24.52698260491114,24.65012176455629
27,음성 대조군,N1,28.0,1,36.3,24.588552184733715,24.52698260491114,24.65012176455629
25,음성 대조군,N3,23.56,1,36.3,24.588552184733715,24.52698260491114,24.65012176455629
23,음성 대조군,N1,28.0,1,36.3,24.588552184733715,24.52698260491114,24.65012176455629
55,음성 대조군,N3,23.3,2,36.4,24.63980128368559,24.57967003885735,24.699932528513827
49,음성 대조군,N4,26.67,2,36.4,24.63980128368559,24.57967003885735,24.699932528513827
142,음성 대조군,N2,25.01,7,36.4,24.63980128368559,24.57967003885735,24.699932528513827
45,음성 대조군,N4,26.67,2,36.4,24.63980128368559,24.57967003885735,24.699932528513827
74,음성 대조군,N3,23.3,3,36.4,24.63980128368559,24.57967003885735,24.699932528513827
114,음성 대조군,N1,23.5,6,36.4,24.63980128368559,24.57967003885735,24.699932528513827
122,음성 대조군,N1,28.68,6,36.4,24.63980128368559,24.57967003885735,24.699932528513827
85,음성 대조군,N2,24.26,4,36.4,24.63980128368559,24.57967003885735,24.699932528513827
138,음성 대조군,N2,25.01,7,36.4,24.63980128368559,24.57967003885735,24.699932528513827
118,음성 대조군,N1,28.68,6,36.4,24.63980128368559,24.57967003885735,24.699932528513827
81,음성 대조군,N2,24.26,4,36.4,24.63980128368559,24.57967003885735,24.699932528513827
57,음성 대조군,N1,23.0,3,36.4,24.63980128368559,24.57967003885735,24.699932528513827
44,음성 대조군,N3,23.87,2,36.5,24.691050382637467,24.63144793391903,24.750652831355904
111,음성 대조군,N2,22.7,5,36.5,24.691050382637467,24.63144793391903,24.750652831355904
48,음성 대조군,N3,23.87,2,36.5,24.691050382637467,24.63144793391903,24.750652831355904
24,음성 대조군,N2,24.35,1,36.5,24.691050382637467,24.63144793391903,24.750652831355904
28,음성 대조군,N2,24.35,1,36.5,24.691050382637467,24.63144793391903,24.750652831355904
99,음성 대조군,N1,29.17,5,36.5,24.691050382637467,24.63144793391903,24.750652831355904
133,음성 대조군,N1,29.59,7,36.5,24.691050382637467,24.63144793391903,24.750652831355904
79,음성 대조군,N4,26.0,4,36.5,24.691050382637467,24.63144793391903,24.750652831355904
103,음성 대조군,N1,29.17,5,36.5,24.691050382637467,24.63144793391903,24.750652831355904
134,음성 대조군,N2,24.82,7,36.6,24.742299481589345,24.682292240147582,24.80230672303111
75,음성 대조군,N4,23.2,3,36.6,24.742299481589345,24.682292240147582,24.80230672303111
43,음성 대조군,N2,24.68,2,36.6,24.742299481589345,24.682292240147582,24.80230672303111
162,음성 대조군,N3,20.99,10,36.6,24.742299481589345,24.682292240147582,24.80230672303111
47,음성 대조군,N2,24.68,2,36.6,24.742299481589345,24.682292240147582,24.80230672303111
101,음성 대조군,N3,24.0,5,36.7,24.79354858054122,24.732221441351122,24.854875719731318
105,음성 대조군,N3,24.0,5,36.7,24.79354858054122,24.732221441351122,24.854875719731318
