,Group,Sample,BT,dpi,BW,pred_y,CI_lower,CI_upper
383,바이러스+치료제,TL9,19.41,7,19.41,15.932579371761888,15.13575049498517,16.729408248538604
379,바이러스+치료제,TH8,19.54,7,19.54,15.999203200399325,15.208552140421533,16.789854260377115
381,바이러스+치료제,TL7,20.5,7,21.37,16.491194550337333,15.746090026622646,17.23629907405202
344,바이러스+치료제,TL8,21.1,5,18.1,16.798689144048588,16.081977346948392,17.515400941148783
359,바이러스+치료제,TL7,21.3,6,22.1,16.90118734195234,16.193925673986065,17.608449009918616
366,바이러스+치료제,TH9,21.5,6,22.11,17.003685539856093,16.305866466498394,17.701504613213793
358,바이러스+치료제,TH10,21.7,6,20.3,17.106183737759842,16.417799414431176,17.79456806108851
387,바이러스+치료제,TH9,21.78,7,21.78,17.147183016921346,16.462570324464835,17.831795709377857
385,바이러스+치료제,TH7,22.2,7,21.68,17.362429232519222,16.69759527322587,18.027263191812576
365,바이러스+치료제,TH8,22.6,6,20.21,17.567425628326724,16.921391394930787,18.21345986172266
386,바이러스+치료제,TH8,22.7,7,20.0,17.618674727278602,16.97733437820362,18.260015076353586
382,바이러스+치료제,TL8,23.2,7,20.4,17.87492022203798,17.257010255804637,18.49283018827132
355,바이러스+치료제,TH7,23.4,6,18.59,17.97741841994173,17.3688612666314,18.585975573252064
363,바이러스+치료제,TL11,23.5,6,20.03,18.028667518893606,17.424782370816313,18.6325526669709
384,바이러스+치료제,TL10,23.5,7,20.78,18.028667518893606,17.424782370816313,18.6325526669709
336,바이러스+치료제,TH4,23.8,5,20.47,18.182414815749237,17.592527241985326,18.772302389513147
380,바이러스+치료제,TH9,24.2,7,18.0,18.38741121155674,17.81614123011276,18.958681193000718
327,바이러스+치료제,TH10,24.9,5,22.1,18.74615490421987,18.207324414919526,19.284985393520216
388,바이러스+치료제,TH10,24.9,7,17.46,18.74615490421987,18.207324414919526,19.284985393520216
357,바이러스+치료제,TH9,25.4,6,18.96,19.002400398979248,18.486615051334518,19.518185746623978
361,바이러스+치료제,TL9,25.5,6,19.74,19.053649497931126,18.542459108207595,19.564839887654657
368,바이러스+치료제,TH11,25.6,6,18.0,19.104898596883004,18.598298176857245,19.611499016908763
