,Group,Sample,BW,dpi,BT,pred_y,CI_lower,CI_upper
378,바이러스 접종군,V9,15.3,5,19.7,16.081201758722326,15.412848625769469,16.749554891675185
443,바이러스 접종군,V8,18.2,6,20.3,16.388696352433584,15.744928700309458,17.03246400455771
444,바이러스 접종군,V9,18.2,6,20.3,16.388696352433584,15.744928700309458,17.03246400455771
445,바이러스 접종군,V10,18.2,6,20.3,16.388696352433584,15.744928700309458,17.03246400455771
446,바이러스 접종군,V1,18.2,6,20.3,16.388696352433584,15.744928700309458,17.03246400455771
375,바이러스 접종군,V6,19.4,5,20.5,16.491194550337333,15.855609029123237,17.126780071551433
424,바이러스 접종군,V14,19.33,6,22.4,17.464927430422975,16.906683021252277,18.023171839593672
487,바이러스 접종군,V11,18.78,7,22.6,17.567425628326724,17.01727445689369,18.11757679975976
380,바이러스 접종군,V1,18.3,5,22.8,17.66992382623048,17.127855191292543,18.211992461168418
379,바이러스 접종군,V10,18.3,5,22.8,17.66992382623048,17.127855191292543,18.211992461168418
489,바이러스 접종군,V13,19.13,7,23.0,17.77242202413423,17.238424738529364,18.30641930973909
377,바이러스 접종군,V8,18.4,5,23.4,17.97741841994173,17.45952818000689,18.49530865987657
497,바이러스 접종군,V6,19.97,7,25.4,19.002400398979248,18.564162508919072,19.440638289039423
506,바이러스 접종군,V5,19.97,7,25.4,19.002400398979248,18.564162508919072,19.440638289039423
505,바이러스 접종군,V4,19.97,7,25.4,19.002400398979248,18.564162508919072,19.440638289039423
504,바이러스 접종군,V3,19.97,7,25.4,19.002400398979248,18.564162508919072,19.440638289039423
503,바이러스 접종군,V2,19.97,7,25.4,19.002400398979248,18.564162508919072,19.440638289039423
502,바이러스 접종군,V1,19.97,7,25.4,19.002400398979248,18.564162508919072,19.440638289039423
501,바이러스 접종군,V10,19.97,7,25.4,19.002400398979248,18.564162508919072,19.440638289039423
500,바이러스 접종군,V9,19.97,7,25.4,19.002400398979248,18.564162508919072,19.440638289039423
490,바이러스 접종군,V14,19.56,7,25.4,19.002400398979248,18.564162508919072,19.440638289039423
491,바이러스 접종군,V15,19.97,7,25.4,19.002400398979248,18.564162508919072,19.440638289039423
492,바이러스 접종군,V1,19.97,7,25.4,19.002400398979248,18.564162508919072,19.440638289039423
493,바이러스 접종군,V2,19.97,7,25.4,19.002400398979248,18.564162508919072,19.440638289039423
494,바이러스 접종군,V3,19.97,7,25.4,19.002400398979248,18.564162508919072,19.440638289039423
495,바이러스 접종군,V4,19.97,7,25.4,19.002400398979248,18.564162508919072,19.440638289039423
499,바이러스 접종군,V8,19.97,7,25.4,19.002400398979248,18.564162508919072,19.440638289039423
507,바이러스 접종군,V6,19.97,7,25.4,19.002400398979248,18.564162508919072,19.440638289039423
498,바이러스 접종군,V7,19.97,7,25.4,19.002400398979248,18.564162508919072,19.440638289039423
496,바이러스 접종군,V5,19.97,7,25.4,19.002400398979248,18.564162508919072,19.440638289039423
509,바이러스 접종군,V8,19.97,7,25.4,19.002400398979248,18.564162508919072,19.440638289039423
510,바이러스 접종군,V9,19.97,7,25.4,19.002400398979248,18.564162508919072,19.440638289039423
511,바이러스 접종군,V10,19.97,7,25.4,19.002400398979248,18.564162508919072,19.440638289039423
508,바이러스 접종군,V7,19.97,7,25.4,19.002400398979248,18.564162508919072,19.440638289039423
312,바이러스 접종군,V9,15.5,4,25.7,19.156147695834875,18.729698734107732,19.58259665756201
421,바이러스 접종군,V11,19.03,6,26.2,19.41239319059425,19.00547529073549,19.819311090453024
313,바이러스 접종군,V10,18.8,4,26.6,19.61738958640176,19.2259784768644,20.00880069593912
314,바이러스 접종군,V1,18.8,4,26.6,19.61738958640176,19.2259784768644,20.00880069593912
448,바이러스 접종군,V3,21.4,6,26.8,19.719887784305516,19.33618633769046,20.10358923092057
447,바이러스 접종군,V2,19.7,6,26.8,19.719887784305516,19.33618633769046,20.10358923092057
