,Group,Sample,BW,dpi,BT,pred_y,CI_upper,CI_lower
0,바이러스 접종군,V1,21.64,0,38.2,25.562285064819356,26.16445800714176,24.96011212249695
1,바이러스 접종군,V2,24.66,0,38.7,25.818530559578736,26.42070350190114,25.21635761725633
2,바이러스 접종군,V3,27.18,0,38.3,25.61353416377123,26.215707106093635,25.011361221448826
3,바이러스 접종군,V4,26.57,0,37.5,25.203541372156227,25.80571431447863,24.601368429833823
4,바이러스 접종군,V5,26.1,0,38.1,25.51103596586748,26.113208908189886,24.908863023545077
5,바이러스 접종군,V6,28.61,0,38.2,25.562285064819356,26.16445800714176,24.96011212249695
6,바이러스 접종군,V7,29.26,0,38.5,25.716032361674984,26.318205303997388,25.11385941935258
7,바이러스 접종군,V8,22.53,0,38.2,25.562285064819356,26.16445800714176,24.96011212249695
8,바이러스 접종군,V9,26.97,0,38.5,25.716032361674984,26.318205303997388,25.11385941935258
9,바이러스 접종군,V10,25.11,0,38.1,25.51103596586748,26.113208908189886,24.908863023545077
10,바이러스 접종군,V11,25.96,0,39.0,25.972277856434363,26.574450798756768,25.37010491411196
11,바이러스 접종군,V12,27.32,0,38.4,25.66478326272311,26.266956205045513,25.062610320400704
12,바이러스 접종군,V13,27.32,0,38.6,25.76728146062686,26.369454402949266,25.165108518304457
13,바이러스 접종군,V14,26.57,0,38.1,25.51103596586748,26.113208908189886,24.908863023545077
14,바이러스 접종군,V15,28.45,0,38.0,25.459786866915604,26.061959809238008,24.8576139245932
15,바이러스 접종군,V1,24.29,0,35.1,23.973562997311205,24.57573593963361,23.3713900549888
16,바이러스 접종군,V2,24.18,0,35.2,24.024812096263084,24.626985038585488,23.42263915394068
17,바이러스 접종군,V3,25.54,0,36.9,24.89604677844497,25.498219720767374,24.293873836122565
18,바이러스 접종군,V4,24.27,0,37.1,24.99854497634872,25.600717918671126,24.396372034026317
19,바이러스 접종군,V5,26.03,0,37.4,25.15229227320435,25.754465215526753,24.550119330881945
20,바이러스 접종군,V6,24.7,0,36.2,24.53730308578184,25.139476028104244,23.935130143459435
21,바이러스 접종군,V7,26.4,0,36.5,24.691050382637467,25.29322332495987,24.088877440315063
22,바이러스 접종군,V8,25.14,0,36.3,24.588552184733715,25.19072512705612,23.98637924241131
23,바이러스 접종군,V9,29.53,0,37.5,25.203541372156227,25.80571431447863,24.601368429833823
24,바이러스 접종군,V10,28.34,0,38.4,25.66478326272311,26.266956205045513,25.062610320400704
25,바이러스 접종군,V11,25.6,0,36.4,24.63980128368559,25.241974226007994,24.037628341363185
26,바이러스 접종군,V12,25.14,0,37.9,25.40853776796373,26.010710710286133,24.806364825641325
27,바이러스 접종군,V13,25.19,0,37.0,24.947295877396847,25.54946881971925,24.345122935074443
28,바이러스 접종군,V14,27.17,0,38.2,25.562285064819356,26.16445800714176,24.96011212249695
29,바이러스 접종군,V15,26.68,0,38.3,25.61353416377123,26.215707106093635,25.011361221448826
30,바이러스 접종군,V1,24.29,0,35.1,23.973562997311205,24.57573593963361,23.3713900549888
31,바이러스 접종군,V2,24.18,0,35.2,24.024812096263084,24.626985038585488,23.42263915394068
32,바이러스 접종군,V3,25.54,0,36.9,24.89604677844497,25.498219720767374,24.293873836122565
33,바이러스 접종군,V4,24.27,0,37.1,24.99854497634872,25.600717918671126,24.396372034026317
34,바이러스 접종군,V5,26.03,0,37.4,25.15229227320435,25.754465215526753,24.550119330881945
35,바이러스 접종군,V6,24.7,0,36.2,24.53730308578184,25.139476028104244,23.935130143459435
36,바이러스 접종군,V7,26.4,0,36.5,24.691050382637467,25.29322332495987,24.088877440315063
37,바이러스 접종군,V8,25.14,0,36.3,24.588552184733715,25.19072512705612,23.98637924241131
38,바이러스 접종군,V9,29.53,0,37.5,25.203541372156227,25.80571431447863,24.601368429833823
39,바이러스 접종군,V10,28.34,0,38.4,25.66478326272311,26.266956205045513,25.062610320400704
40,바이러스 접종군,V1,24.9,0,34.6,23.717317502551825,24.31949044487423,23.11514456022942
41,바이러스 접종군,V2,26.0,0,34.9,23.871064799407453,24.473237741729857,23.26889185708505
42,바이러스 접종군,V3,22.3,0,34.0,23.40982290884057,24.011995851162975,22.807649966518166
43,바이러스 접종군,V4,29.2,0,34.6,23.717317502551825,24.31949044487423,23.11514456022942
44,바이러스 접종군,V5,25.3,0,33.9,23.358573809888696,23.9607467522111,22.756400867566292
45,바이러스 접종군,V6,25.5,0,33.3,23.05107921617744,23.653252158499843,22.448906273855034
46,바이러스 접종군,V7,21.9,0,35.0,23.92231389835933,24.524486840681735,23.320140956036926
47,바이러스 접종군,V8,24.4,0,35.1,23.973562997311205,24.57573593963361,23.3713900549888
48,바이러스 접종군,V9,21.3,0,35.8,24.332306689974335,24.93447963229674,23.73013374765193
49,바이러스 접종군,V10,24.8,0,35.4,24.127310294166833,24.729483236489237,23.52513735184443
50,바이러스 접종군,V1,26.4,0,37.9,25.40853776796373,26.010710710286133,24.806364825641325
51,바이러스 접종군,V2,23.2,0,37.4,25.15229227320435,25.754465215526753,24.550119330881945
52,바이러스 접종군,V3,24.3,0,36.2,24.53730308578184,25.139476028104244,23.935130143459435
53,바이러스 접종군,V4,22.5,0,36.9,24.89604677844497,25.498219720767374,24.293873836122565
54,바이러스 접종군,V5,23.7,0,37.3,25.10104317425247,25.703216116574875,24.498870231930066
55,바이러스 접종군,V6,20.7,0,38.4,25.66478326272311,26.266956205045513,25.062610320400704
56,바이러스 접종군,V1,22.8,0,36.0,24.434804887878087,25.03697783020049,23.832631945555683
57,바이러스 접종군,V2,22.7,0,36.5,24.691050382637467,25.29322332495987,24.088877440315063
58,바이러스 접종군,V3,22.8,0,36.5,24.691050382637467,25.29322332495987,24.088877440315063
59,바이러스 접종군,V4,24.3,0,37.0,24.947295877396847,25.54946881971925,24.345122935074443
60,바이러스 접종군,V5,25.6,0,37.6,25.2547904711081,25.856963413430506,24.652617528785697
61,바이러스 접종군,V6,23.2,0,34.5,23.66606840359995,24.268241345922355,23.063895461277546
62,바이러스 접종군,V7,22.7,0,34.5,23.66606840359995,24.268241345922355,23.063895461277546
63,바이러스 접종군,V8,22.9,0,36.2,24.53730308578184,25.139476028104244,23.935130143459435
64,바이러스 접종군,V9,26.4,0,35.6,24.229808492070585,24.83198143439299,23.62763554974818
65,바이러스 접종군,V10,22.8,0,34.5,23.66606840359995,24.268241345922355,23.063895461277546
66,바이러스 접종군,V1,21.29,1,36.8,24.844797679493094,25.4469706218155,24.24262473717069
67,바이러스 접종군,V2,24.73,1,36.4,24.63980128368559,25.241974226007994,24.037628341363185
68,바이러스 접종군,V3,27.76,1,36.0,24.434804887878087,25.03697783020049,23.832631945555683
69,바이러스 접종군,V4,26.19,1,37.0,24.947295877396847,25.54946881971925,24.345122935074443
70,바이러스 접종군,V5,25.87,1,36.5,24.691050382637467,25.29322332495987,24.088877440315063
71,바이러스 접종군,V6,29.0,1,36.0,24.434804887878087,25.03697783020049,23.832631945555683
72,바이러스 접종군,V7,29.53,1,37.6,25.2547904711081,25.856963413430506,24.652617528785697
73,바이러스 접종군,V8,22.99,1,36.2,24.53730308578184,25.139476028104244,23.935130143459435
74,바이러스 접종군,V9,26.74,1,36.2,24.53730308578184,25.139476028104244,23.935130143459435
75,바이러스 접종군,V10,24.98,1,36.6,24.742299481589345,25.34447242391175,24.14012653926694
76,바이러스 접종군,V11,26.0,1,36.3,24.588552184733715,25.19072512705612,23.98637924241131
77,바이러스 접종군,V12,27.35,1,36.6,24.742299481589345,25.34447242391175,24.14012653926694
78,바이러스 접종군,V13,27.1,1,36.1,24.486053986829965,25.08822692915237,23.88388104450756
79,바이러스 접종군,V14,26.69,1,36.3,24.588552184733715,25.19072512705612,23.98637924241131
80,바이러스 접종군,V15,28.41,1,36.6,24.742299481589345,25.34447242391175,24.14012653926694
81,바이러스 접종군,V1,23.44,1,36.2,24.53730308578184,25.139476028104244,23.935130143459435
82,바이러스 접종군,V2,23.38,1,36.7,24.79354858054122,25.395721522863624,24.191375638218815
83,바이러스 접종군,V3,24.5,1,37.0,24.947295877396847,25.54946881971925,24.345122935074443
84,바이러스 접종군,V4,23.0,1,37.4,25.15229227320435,25.754465215526753,24.550119330881945
85,바이러스 접종군,V5,25.46,1,38.3,25.61353416377123,26.215707106093635,25.011361221448826
86,바이러스 접종군,V6,24.67,1,36.4,24.63980128368559,25.241974226007994,24.037628341363185
87,바이러스 접종군,V7,25.67,1,36.9,24.89604677844497,25.498219720767374,24.293873836122565
88,바이러스 접종군,V8,24.6,1,36.4,24.63980128368559,25.241974226007994,24.037628341363185
89,바이러스 접종군,V9,28.41,1,37.8,25.35728866901185,25.959461611334255,24.755115726689446
90,바이러스 접종군,V10,28.26,1,37.7,25.30603957005998,25.908212512382384,24.703866627737575
91,바이러스 접종군,V11,25.11,1,36.2,24.53730308578184,25.139476028104244,23.935130143459435
92,바이러스 접종군,V12,24.0,1,37.3,25.10104317425247,25.703216116574875,24.498870231930066
93,바이러스 접종군,V13,24.57,1,36.8,24.844797679493094,25.4469706218155,24.24262473717069
94,바이러스 접종군,V14,26.89,1,37.8,25.35728866901185,25.959461611334255,24.755115726689446
95,바이러스 접종군,V15,26.29,1,37.8,25.35728866901185,25.959461611334255,24.755115726689446
96,바이러스 접종군,V1,23.44,1,36.2,24.53730308578184,25.139476028104244,23.935130143459435
97,바이러스 접종군,V2,23.38,1,36.7,24.79354858054122,25.395721522863624,24.191375638218815
98,바이러스 접종군,V3,24.5,1,37.0,24.947295877396847,25.54946881971925,24.345122935074443
99,바이러스 접종군,V4,23.0,1,37.4,25.15229227320435,25.754465215526753,24.550119330881945
100,바이러스 접종군,V5,25.46,1,38.4,25.66478326272311,26.266956205045513,25.062610320400704
101,바이러스 접종군,V6,24.67,1,36.4,24.63980128368559,25.241974226007994,24.037628341363185
102,바이러스 접종군,V7,25.67,1,36.8,24.844797679493094,25.4469706218155,24.24262473717069
103,바이러스 접종군,V8,24.6,1,36.4,24.63980128368559,25.241974226007994,24.037628341363185
